DEPARTURE PORT,DEPARTUREPORTLATITUDE,DEPARTUREPORTLONGITUDE
"Liverpool, England",53.4054719,-2.9805393
"Bristol, England",51.45523,-2.59665
"Newcastle, England",54.97328,-1.61396
"Shields, England",54.99859,-1.4323
"Southampton, England",50.9035305,-1.4041996
"Cartagena, Spain",37.60512,-0.98623
"Belfast, England",52.16045,-0.70312
"Middlesboro, England",52.16045,-0.70312
"Bordeaux, France",44.84044,-0.5805
"London, England",51.5072648,-0.1278328
"La Havre, France",49.4938,0.10767
"Le Havre, France",49.4938,0.10767
"Cetti, France",46,2
"Nantz, France",46,2
"Camcaret, France",46,2
"Dunkirk, France",51.05,2.36667
"Port-Vendres, France",42.51792,3.10553
"Havre, Belgium",50.46401,4.04675
"Antwerp, Belgium",51.21989,4.40346
"Rotterdam, Holand",51.9225,4.47917
"Rotterdam, Netherlands",51.9225,4.47917
"Bergen, Norway",60.39299,5.32415
"Marseilles, France",43.29695,5.38107
"Bremerhaven, Germany",53.55021,8.57674
"Bremen, Germany",53.077165,8.801868
"Genoa, Italy",44.40632,8.93386
"Hamburg, Germany",53.57532,10.01534
"Livorno, Province of Livorno, Italy",43.54264,10.316
"Lewiston, DE",51.5,10.5
"Stettin, Germany",51.5,10.5
"Cape Haytien, DE",51.5,10.5
"St Croix, USVI",51.483,11.972
"St John, NF",51.483,11.972
"Caylian, Italy",42.83333,12.83333
"Trieste, Austria",47.33333,13.33333
"Palermo, Sicily",38.11582,13.35976
"Messina, Sicily",38.19327,15.54969
"Cape Town, SA",-33.923743,18.415053
"Tinos, Greece",37.53753,25.16343
"Bussorah, Persian Gulf",27.130545,51.434401
"Gustavia, St Barthélemy",17.89618,62.84978
"Chochin, India",9.931718,76.267085
"Penang, Malaysia",5.4339,100.296819
"Chongqing, China",29.56278,106.55278
"Canton, China",23.108553,113.25778
"Hong Kong, China",22.318892,114.176419
"Manila, Philippines",14.6042,120.9822
"Kobe, Japan",34.6913,135.183
"Auckland, NZ",-36.86667,174.76667
"Pernambuco, Brazil",-8.56884, -37.779078
"Miragoane, Haiti",18.439831, -73.085652
"Port Morant, Jamaica",17.89621, -76.331549
"Yatesville, NC",35.528314, -76.739441
"Milk River, Jamaica",17.879121, -77.356585
"Catalona, Spain",41.617592,0.620015
"Montevideo, SA",,
"Little Egg Harbor, NJ",,
"Assawoman, VA",,
"Cebu, Philippines",,
"Breman, Norway",,
"Amsterdam, Neth",,
"Calais, ME",,
"Pergaubar River, Va",,
"Schuylkill, NJ",,
"Hatteras, NC",,
"Manzamillo, Cuba",,
"San Domingo, WI",,
